ASUS,"ASUS DUAL Radeon RX 6700 XT Standard Edition 12GB GDDR6 Gaming Graphics Card (AMD RDNA 2, PCIe 4.0, 12GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 0dB Technology)",IN STOCK
ASUS,"ASUS TUF Gaming Radeon RX 6700 XT OC Edition Graphics Card (AMD RDNA 2, PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, All-aluminum Shroud, Reinforced Frame, GPU Tweak II)",IN STOCK
GIGABYTE,GIGABYTE Radeon RX 6900 XT DirectX 12 GV-R69XT-16GC-B 16GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,IN STOCK
GIGABYTE,"GIGABYTE AORUS Radeon RX 6800 XT MASTER TYPE C 16G Graphics Card, 16GB GDDR6 Memory, Powered by AMD RDNA 2, HDMI 2.1, USB Type-C, MAX-COVERED Cooling, GV-R68XTAORUS M-16GC",IN STOCK
GIGABYTE,"GIGABYTE AORUS Radeon RX 6800 MASTER 16G Graphics Card, MAX-COVERED Cooling, 16GB 256-bit GDDR6, GV-R68AORUS M-16GD Video Card",IN STOCK
MSI,MSI Radeon RX 6800 DirectX 12 Ultimate RX 6800 GAMING X TRIO 16G 16GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,IN STOCK
GIGABYTE,"GIGABYTE Radeon RX 6900 XT GAMING OC Video Card, GV-R69XTGAMING OC-16GD",IN STOCK
ASUS,ASUS TUF Gaming Radeon RX 6800 XT DirectX 12 Ultimate TUF-RX6800XT-O16G-GAMING 16GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,IN STOCK
ASUS,ASUS Dual GeForce RTX 3070 DirectX 12 DUAL-RTX3070-O8G 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,OUT OF STOCK
GIGABYTE,"GIGABYTE AORUS GeForce RTX 3090 XTREME WATERFORCE WB 24G Graphics Card, WATERFORCE Water Block Cooling System, 24GB 384-bit GDDR6X, GV-N3090AORUSX WB-24GD Video Card",OUT OF STOCK
ASUS,ASUS GeForce RTX 3070 KO-RTX3070-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,OUT OF STOCK
GIGABYTE,"GIGABYTE AORUS GeForce RTX 3090 XTREME WATERFORCE 24G Graphics Card, WATERFORCE All-in-One Cooling System, 24GB 384-bit GDDR6X, GV-N3090AORUSX W-24GD Video Card",OUT OF STOCK
Sapphire Tech,"Sapphire Pulse AMD RADEON RX 6800 GAMING GRAPHICS CARD WITH 16GB GDDR6, AMD RDNA 2 (11305-02-20G)",OUT OF STOCK
XFX,"XFX Speedster MERC 319 AMD Radeon RX 6900 XT Black Gaming Graphics Card with 16GB GDDR6, HDMI 2 x DP USB-C, AMD RDNA 2, RX-69XTACBD9",OUT OF STOCK
PowerColor,"PowerColor Red Dragon AMD Radeon RX 6800 XT Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",OUT OF STOCK
Sapphire Tech,"SAPPHIRE NITRO+ Radeon RX 6800 DirectX 12 11305-01-20G 16GB 256-Bit GDDR6 PCI Express 4.0 ATX Gaming Graphics Card, AMD RDNA 2",OUT OF STOCK
XFX,"XFX SPEEDSTER QICK 319 AMD Radeon RX 6800 BLACK Gaming Graphics Card with 16GB GDDR6 HDMI 3 x DP, AMD RDNA 2 (RX-68XLALBD9)",OUT OF STOCK
GIGABYTE,"GIGABYTE GeForce RTX 3060 VISION OC 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060VISION OC-12GD Video Card",OUT OF STOCK
GIGABYTE,"GIGABYTE GeForce RTX 3060 GAMING OC 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",OUT OF STOCK
EVGA,"EVGA GeForce RTX 3080 FTW3 ULTRA GAMING Video Card, 10G-P5-3897-KR, 10GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",OUT OF STOCK
GIGABYTE,"GIGABYTE GeForce RTX 3080 VISION OC 10GB Video Card, GV-N3080VISION OC-10GD",OUT OF STOCK
EVGA,"EVGA GeForce RTX 3070 FTW3 ULTRA GAMING Video Card, 08G-P5-3767-KR, 8GB GDDR6, iCX3 Technology, ARGB LED, Metal Backplate",OUT OF STOCK
ASUS,ASUS ROG Strix GeForce RTX 3090 DirectX 12 ROG-STRIX-RTX3090-O24G-WHITE 24GB 384-Bit GDDR6X PCI Express 4.0 HDCP Ready SLI Support Video Card,OUT OF STOCK
GIGABYTE,"GIGABYTE GeForce RTX 3060 EAGLE OC 12G Graphics Card, 2 x WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060EAGLE OC-12GD Video Card",OUT OF STOCK
EVGA,"EVGA GeForce RTX 3060 XC GAMING, 12G-P5-3657-KR, 12GB GDDR6, Dual-Fan, Metal Backplate",OUT OF STOCK
Sapphire Tech,Sapphire Pulse AMD Radeon RX 6700 XT Gaming 12GB GDDR6 HDMI / Triple DP (11306-02-20G),OUT OF STOCK
GIGABYTE,"GIGABYTE AORUS GeForce RTX 3090 XTREME 24GB Video Card, GV-N3090AORUS X-24GD",OUT OF STOCK
GIGABYTE,"GIGABYTE AORUS Radeon RX 6700 XT ELITE 12G Graphics Card, WINDFORCE 3X Cooling System, 12GB 192-bit GDDR6, GV-R67XTAORUS E-12GD Video Card",OUT OF STOCK
ASUS,"ASUS ROG Strix GeForce RTX 3060 DirectX 12 Ultimate ROG-STRIX-RTX3060-O12G-GAMING 12GB 192-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card, OC Edition",OUT OF STOCK
ASUS,"ASUS TUF Gaming GeForce RTX 3060 DirectX 12 Ultimate TUF-RTX3060-O12G-GAMING 12GB 192-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card, OC Edition",OUT OF STOCK
GIGABYTE,"GIGABYTE Radeon RX 6700 XT GAMING OC 12G Graphics Card, WINDFORCE 3X Cooling System, 12GB 192-bit GDDR6, GV-R67XTGAMING OC-12GD Video Card",OUT OF STOCK
EVGA,"EVGA GeForce RTX 3090 FTW3 ULTRA GAMING Video Card, 24G-P5-3987-KR, 24GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",OUT OF STOCK
GIGABYTE,"GIGABYTE GeForce RTX 3070 EAGLE OC 8GB Video Card, GV-N3070EAGLE OC-8GD",OUT OF STOCK
XFX,"XFX SPEEDSTER MERC319 AMD Radeon RX 6700 XT BLACK Gaming Graphics Card with 12GB GDDR6 HDMI 3xDP, AMD RDNA 2 (RX-67XTYTBDP)",OUT OF STOCK
MSI,MSI Radeon RX 6700 XT DirectX 12 Ultimate RX 6700 XT MECH 2X 12G OC 12GB 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,OUT OF STOCK
GIGABYTE,"GIGABYTE AORUS GeForce RTX 3060 Ti MASTER 8GB Video Card, GV-N306TAORUS M-8GD",OUT OF STOCK
